Task ID,Task,Description,Assignee,Start Date,End Date,Dependencies,Status
T1,Finalize classification pipeline,"Resolve treatment of the two unbenchmarked compounds (PFPeS, PFPrS); run the full HI/TQ pipeline against the complete 716-sample Table S10 dataset.",Yai,2026-08-04,2026-08-06,,Done
T2,Verify source citations,Confirm state-agency primary sources in Table S5 and the authoritative CDM Smith EPA Final PFAS Regulations fact sheet URL for the methods section.,Yai,2026-08-04,2026-08-06,,Done
T3,Triage Checkpoint 2 peer feedback,Review peer feedback received today; select at least one item the team will integrate into the final submission (required by the spec).,"Yai, Somyaranjan",2026-08-04,2026-08-05,,Done
T4,Implement feedback change,"Make the scoped change identified in T3, in whichever part of the pipeline/notebook it touches.","Yai, Somyaranjan",2026-08-06,2026-08-07,T3,Pending
T5,Build baseline model,Implement and train the interpretable baseline classifier (carries the Step 4 proposal into Step 5 execution). Unblocked as of today since T1 is done.,Raj,2026-08-04,2026-08-07,T1,Complete
T6,Build competing model,Implement and train the competing ensemble model (carries the Step 4 proposal into Step 5 execution). Unblocked as of today since T1 is done.,Emir,2026-08-04,2026-08-07,T1,Pending
T7,Run predictions & retune,"Score both trained models on the held-out test set; evaluate and retune to improve accuracy. Run as joint execution, with Yai pairing directly with Somya through the step.","Yai, Somyaranjan",2026-08-08,2026-08-10,"T5, T6",Pending
T8,Scalability / deployment metric,Optional scalability and deployment-metric analysis on the competing model.,Emir,2026-08-08,2026-08-10,T6,Pending
T9,Model validation & benchmarking,Apply the per-class metrics framework and risk-tier thresholds to both models; benchmark against the Step 3 evaluation plan.,"Yai, Somyaranjan",2026-08-10,2026-08-11,T7,Pending
T10,Deployment & lessons-learned narrative,"Draft the discussion of deployment feasibility, pitfalls, and lessons learned required by Step 5.","Emir, Yai",2026-08-11,2026-08-11,"T8, T9",Pending
T11,Finalize public repo,Push Step 5 code to the public repo and confirm it's publicly accessible for the writeup/deck link.,"Yai, Raj",2026-08-11,2026-08-12,"T4, T5, T6",Pending
T12,Draft & export Step 5 writeup,"Write up Step 5 results, evaluation, deployment discussion, and feedback integration; export to PDF. Finishes with Aug 13 left open as buffer before deck-building starts.",Yai,2026-08-11,2026-08-12,"T2, T4, T9, T10, T11",Pending
T13,Build slide deck,Turn the writeup into the .pptx presentation deck.,"Yai, Emir",2026-08-14,2026-08-14,T12,Pending
T14,Prep individual speaking parts,"Each member preps their section of the 15-minute presentation, done early enough Fri to record same evening.","Yai, Raj, Emir, Somyaranjan",2026-08-14,2026-08-14,T13,Pending
T15,Record presentation video,"Record the group's 15-minute presentation Friday evening (targets Raj's known 9-11PM ET window), leaving Saturday morning free for export/submit only.","Yai, Raj, Emir, Somyaranjan",2026-08-14,2026-08-14,T14,Pending
T16,"Submit writeup, deck & video","Upload the finished writeup PDF, deck (PDF+pptx), and video as soon as they're ready Friday night, so Saturday's window is submit-only. Reassigned to Raj: Yai is mostly unavailable Saturday the 15th.",Raj,2026-08-14,2026-08-15,"T12, T13, T15",Pending
T17,Final package submission,"Submit the graded package. Hard deadline: 12:00 PM ET, Sat Aug 15. Reassigned to Raj (Yai unavailable) - note Raj's stated Saturday availability is 11AM-2PM ET, so there's only ~1 hour of headroom before the cutoff; nothing here should be a first-touch that morning.",Raj,2026-08-15,2026-08-15,T16,Pending
T18,Individual final peer review,Each member individually reviews the same group project reviewed earlier and submits the review form.,"Yai, Raj, Emir, Somyaranjan (individually)",2026-08-16,2026-08-19,,Pending
