Task ID,Task Name,Category,Owner,Depends On,Start Date,End Date,Status
PW,"Reshape to one row per site/compound, join benchmarks, compute per-compound & summed TQ",Pre-work,Yai,None,2026-07-26,2026-07-27,Not started
3.1,Define per-class metrics (precision/recall/F1, confusion matrix),Step 3 - Evaluation Plan,Somyaranjan,None,2026-07-26,2026-07-27,Complete
3.3,Design the split strategy (group by study),Step 3 - Evaluation Plan,Raj,None,2026-07-26,2026-07-27,Complete
3.5,Scalability / deployment metric (optional 3rd proposal),Step 3 - Evaluation Plan,Emir,None,2026-07-26,2026-07-27,Not started
4.2,Tooling & compute plan for baseline,Step 4 - Modeling Techniques,"Raj, Yai",None,2026-07-27,2026-07-28,Not started
3.4,Decide groundwater's role (held-out vs combined),Step 3 - Evaluation Plan,"Raj, Yai",3.3,2026-07-27,2026-07-28,Not started
3.2,Set the success threshold (risk-tier cutoffs),Step 3 - Evaluation Plan,"Somyaranjan, Team",PW,2026-07-28,2026-07-28,Not started
4.4,Handle skew & encoding on finalized feature table,Step 4 - Modeling Techniques,Somyaranjan,PW,2026-07-28,2026-07-29,Not started
4.1,Baseline model: interpretable classifier (Lead A),Step 4 - Modeling Techniques,Raj,"3.2, 4.4",2026-07-29,2026-07-31,Not started
4.3,Competing model: hierarchical/ensemble (Lead B),Step 4 - Modeling Techniques,Emir,"3.2, 4.4",2026-07-29,2026-07-31,Not started
EVAL,Run predictions & evaluate; retune,Step 5 - Evaluate & Retune,Somyaranjan,"4.1, 4.3, 3.1",2026-07-31,2026-08-01,Not started
DOC,Writeup draft through final,Deliverable,Yai,EVAL (for final pass),2026-07-26,2026-08-02,Not started
DECK,Slide deck,Deliverable,"Yai, All",DOC,2026-08-01,2026-08-01,Not started
VID,15-min presentation video,Deliverable,All,DECK,2026-08-01,2026-08-02,Not started
PR,Peer review form (other group),Deliverable,"All, individually",None,2026-07-31,2026-08-02,Not started
